a 1 b 3 c 2 draw
a 1 f 5 e 4 draw
a 1 f 5 e 5 draw
a 1 f 5 f 4 draw
a 1 f 5 f 6 draw
a 1 f 5 g 4 draw
a 1 f 5 g 5 draw
a 1 f 5 g 6 draw
a 1 f 6 e 5 draw
a 1 f 6 f 5 draw
a 1 f 6 g 5 draw
a 1 f 6 g 6 draw
a 1 f 6 g 7 draw
a 1 f 7 g 6 draw
a 1 g 1 f 1 draw
a 1 g 1 f 2 draw
a 1 g 1 g 2 draw
a 1 g 1 h 1 draw
a 1 g 1 h 2 draw
a 1 g 2 f 1 draw
a 1 g 2 f 2 draw
a 1 g 2 f 3 draw
a 1 g 2 g 1 draw
a 1 g 2 g 3 draw
a 1 g 2 h 1 draw
a 1 g 2 h 2 draw
a 1 g 2 h 3 draw
a 1 g 3 f 2 draw
a 1 g 3 f 3 draw
a 1 g 3 f 4 draw
a 1 g 3 g 2 draw
a 1 g 3 g 4 draw
a 1 g 3 h 2 draw
a 1 g 3 h 3 draw
a 1 g 3 h 4 draw
a 1 g 4 f 3 draw
a 1 g 4 f 4 draw
a 1 g 4 f 5 draw
a 1 g 4 g 3 draw
a 1 g 4 g 5 draw
a 1 g 4 h 3 draw
a 1 g 4 h 4 draw
a 1 g 4 h 5 draw
a 1 g 5 f 4 draw
a 1 g 5 f 5 draw
a 1 g 5 f 6 draw
a 1 g 5 g 4 draw
a 1 g 5 g 6 draw
a 1 g 5 h 4 draw
a 1 g 5 h 5 draw
a 1 g 5 h 6 draw
a 1 g 6 f 5 draw
a 1 g 6 f 6 draw
a 1 g 6 g 5 draw
a 1 g 6 g 7 draw
a 1 g 6 h 5 draw
a 1 g 6 h 6 draw
d 1 e 2 e 6 fourteen
d 1 e 3 b 3 fourteen
d 1 e 3 b 4 fourteen
d 1 e 3 b 5 fourteen
d 1 e 3 c 3 fourteen
d 1 e 3 c 4 fourteen
d 1 e 3 c 5 fourteen
d 1 e 3 c 6 fourteen
d 1 e 3 d 5 fourteen
d 1 e 3 d 6 fourteen
d 1 e 3 e 5 fourteen
d 1 e 3 e 6 fourteen
d 1 e 4 c 4 fourteen
d 1 e 4 c 5 fourteen
d 1 e 4 c 6 fourteen
d 1 e 4 d 6 fourteen
d 1 e 4 e 6 fourteen
d 1 e 5 b 5 fourteen
d 1 e 5 b 6 fourteen
d 1 e 5 b 7 fourteen
d 1 e 5 b 8 fourteen
d 1 e 5 c 3 fourteen
d 1 e 5 c 4 fourteen
d 1 e 5 c 5 fourteen
d 1 e 5 c 6 fourteen
d 1 e 5 c 7 fourteen
d 1 e 5 c 8 fourteen
d 1 e 5 d 7 fourteen
d 1 e 5 d 8 fourteen
d 1 e 5 e 3 fourteen
d 1 e 5 e 7 fourteen
d 1 e 5 e 8 fourteen
d 1 e 5 f 3 fourteen
d 1 e 5 g 3 fourteen
d 1 e 5 g 4 fourteen
d 1 e 5 g 5 fourteen
d 1 e 6 a 4 fourteen
d 1 e 6 a 5 fourteen
d 1 e 6 a 6 fourteen
d 1 e 6 b 3 fourteen
d 1 e 7 a 5 fourteen
d 1 e 7 a 6 fourteen
d 1 e 7 a 7 fourteen
d 1 e 7 b 3 fourteen
d 1 e 7 b 4 fourteen
d 1 e 7 b 5 fourteen
d 1 e 7 b 6 fourteen
d 1 e 7 b 7 fourteen
d 1 e 7 c 3 fourteen
d 1 e 7 c 4 fourteen
d 1 e 7 d 3 fourteen
d 1 e 7 d 4 fourteen
d 1 e 7 e 3 fourteen
d 1 e 7 e 4 fourteen
d 1 e 8 b 3 fourteen
d 1 e 8 b 4 fourteen
d 1 e 8 b 5 fourteen
d 1 e 8 b 6 fourteen
d 1 e 8 b 7 fourteen
d 1 e 8 b 8 fourteen
d 1 e 8 c 3 fourteen
d 1 e 8 c 4 fourteen
d 1 e 8 c 5 fourteen
d 1 e 8 c 6 fourteen
d 1 e 8 c 7 fourteen
d 1 e 8 c 8 fourteen
d 1 e 8 d 3 fourteen
d 1 e 8 d 4 fourteen
d 1 e 8 d 5 fourteen
d 1 e 8 d 6 fourteen
d 1 e 8 e 3 fourteen
d 1 e 8 e 4 fourteen
d 1 e 8 e 5 fourteen
d 1 e 8 e 6 fourteen
d 1 f 1 b 3 fourteen
d 1 f 1 b 4 fourteen
d 1 f 1 b 5 fourteen
d 1 f 1 b 6 fourteen
d 1 f 1 b 7 fourteen
d 1 f 1 b 8 fourteen
d 1 f 1 c 7 fourteen
d 1 f 1 c 8 fourteen
d 1 f 1 d 7 fourteen
d 1 f 1 d 8 fourteen
d 1 f 1 e 7 fourteen
d 1 f 1 e 8 fourteen
d 1 f 1 f 3 fourteen
d 1 f 1 f 7 fourteen
d 1 f 1 f 8 fourteen
d 1 f 2 c 6 fourteen
d 1 f 2 c 7 fourteen
d 1 f 2 c 8 fourteen
d 1 f 2 d 7 fourteen
